D#COD_IBGE,cS#UF,cS#REGIAO,C#IDHM_RENDA_2000,C#PERCAPITA,D#POPULAÇÃO,cS#PERIODICIDADE DAS SESSÕES,D#PROJETOS DE LEI APRESENTADOS
1301506,AM,NORTE, 0.40,3282.27,19060,SEMANAL,3
2100832,MA,NORDESTE, 0.41,963,14594,SEMANAL,20
2313252,CE,NORDESTE, 0.41,1021.53,9213,SEMANAL,1
2106375,MA,NORDESTE, 0.41,1193.26,8445,SEMANAL,0
2108256,MA,NORDESTE, 0.41,1214.23,17954,SEMANAL,0
2102408,MA,NORDESTE, 0.41,1249.1,9622,SEMANAL,0
2100907,MA,NORDESTE, 0.41,1280.94,34906,SEMANAL,2
2202174,PI,NORDESTE, 0.41,1410.36,5743,SEMANAL,0
2104651,MA,NORDESTE, 0.41,1458.12,11804,SEMANAL,0
2112274,MA,NORDESTE, 0.41,1596.88,5527,SEMANAL,1
2203420,PI,NORDESTE, 0.41,1657.61,4284,QUINZENAL,3
2209658,PI,NORDESTE, 0.41,1693.96,3806,BIMESTRAL,
2102507,MA,NORDESTE, 0.41,1760.06,13405,SEMANAL,1
2206670,PI,NORDESTE, 0.41,1761.68,6006,SEMANAL,5
1303700,AM,NORTE, 0.41,1787.73,28213,SEMANAL,1
2109304,MA,NORDESTE, 0.41,1908.37,10483,SEMANAL,0
2706000,AL,NORDESTE, 0.41,1973.35,10369,SEMANAL,0
2924405,BA,NORDESTE, 0.41,2178.47,30713,MENSAL,12
2102150,MA,NORDESTE, 0.41,2201.7,10418,SEMANAL,2
2105963,MA,NORDESTE, 0.41,2276.41,8469,SEMANAL,4
1200435,AC,NORTE, 0.41,2740.55,2246,SEMANAL,2
1301605,AM,NORTE, 0.41,2816.04,31509,QUINZENAL,3
2107100,MA,NORDESTE, 0.41,,11099,SEMANAL,6
2111029,MA,NORDESTE, 0.41,,13495,,
2103554,MA,NORDESTE, 0.42,1222.37,9703,SEMANAL,7
2513158,MA,NORDESTE, 0.42,1305.78,22720,SEMANAL,2
2100154,AL,NORDESTE, 0.42,1326.08,13687,QUINZENAL,
2110609,PI,NORDESTE, 0.42,1364.67,5203,SEMANAL,1
2704609,PI,NORDESTE, 0.42,1398.02,4426,QUINZENAL,1
2211357,MA,NORDESTE, 0.42,1503.4,8289,SEMANAL,0
2206654,MA,NORDESTE, 0.42,1513.2,10815,SEMANAL,1
2107209,MA,NORDESTE, 0.42,1538.6,6671,SEMANAL,
2111722,MA,NORDESTE, 0.42,1546.58,9446,SEMANAL,7
2111631,MA,NORDESTE, 0.42,1581.87,13021,SEMANAL,2
2105922,PI,NORDESTE, 0.42,1585.49,5795,SEMANAL,
2106300,AL,NORDESTE, 0.42,1663.74,4847,QUINZENAL,5
2205573,PI,NORDESTE, 0.42,1681.76,4150,QUINZENAL,
2705903,MA,NORDESTE, 0.42,1714.97,4680,SEMANAL,0
2207959,MA,NORDESTE, 0.42,1719.81,13038,SEMANAL,3
2100105,BA,NORDESTE, 0.42,1723.45,54552,,
2105906,BA,NORDESTE, 0.42,1760.35,10242,SEMANAL,1
2921500,MA,NORDESTE, 0.42,1788.55,9120,QUINZENAL,3
2921054,PI,NORDESTE, 0.42,1810.51,8498,SEMANAL,0
2111789,PI,NORDESTE, 0.42,1832.94,8332,QUINZENAL,1
2202059,MA,NORDESTE, 0.42,1885.24,17603,,5
2208650,BA,NORDESTE, 0.42,1964.23,11046,,3
2112605,AL,NORDESTE, 0.42,1991.55,25584,SEMANAL,2
2920452,BA,NORDESTE, 0.42,2022.71,27679,SEMANAL,60
2703106,MG,SUDESTE, 0.42,2035.83,7863,QUINZENAL,4
2923704,PB,NORDESTE, 0.42,2092.28,3645,SEMANAL,3
3108255,SE,NORDESTE, 0.42,2237.42,26022,QUINZENAL,3
2505352,PB,NORDESTE, 0.42,2792.84,3548,SEMANAL,3
2805406,AM,NORTE, 0.42,2803.59,20595,SEMANAL,0
2513356,PB,NORDESTE, 0.42,2852.99,6568,SEMANAL,7
1304104,RR,NORTE, 0.42,2972.7,5802,,
2504157,AM,NORTE, 0.42,3059.28,8406,QUINZENAL,0
1400704,MA,NORDESTE, 0.42,899.18,21489,SEMANAL,13
1301951,PB,NORDESTE, 0.42,,6862,QUINZENAL,0
2105104,MA,NORDESTE, 0.42,,10774,,0
2202539,MA,NORDESTE, 0.43,1102.76,26401,SEMANAL,2
2202653,AL,NORDESTE, 0.43,1146.14,17768,,0
2104081,PA,NORTE, 0.43,1148.91,21064,SEMANAL,0
2112100,TO,NORTE, 0.43,1230.31,6781,SEMANAL,0
2703304,MA,NORDESTE, 0.43,1257.33,14834,SEMANAL,3
1504505,BA,NORDESTE, 0.43,1287.41,10502,SEMANAL,2
1718303,MA,NORDESTE, 0.43,1328.03,12854,QUINZENAL,
2111078,MA,NORDESTE, 0.43,1339.02,32469,SEMANAL,1
2903953,PI,NORDESTE, 0.43,1441.79,3641,MENSAL,8
2110906,PI,NORDESTE, 0.43,1470.12,7284,,
2107803,AL,NORDESTE, 0.43,1492.12,10238,SEMANAL,1
2203255,PI,NORDESTE, 0.43,1502.83,5567,SEMANAL,18
2202026,BA,NORDESTE, 0.43,1503.15,16953,SEMANAL,
2707404,AL,NORDESTE, 0.43,1508.94,16341,SEMANAL,3
2201945,PI,NORDESTE, 0.43,1541.71,4866,SEMANAL,
2924207,PI,NORDESTE, 0.43,1545.8,6771,SEMANAL,12
2702553,PI,NORDESTE, 0.43,1550.2,4349,SEMANAL,3
2205524,MA,NORDESTE, 0.43,1551.7,34707,SEMANAL,1
2205854,RN,NORDESTE, 0.43,1580.09,6328,QUINZENAL,0
2205458,PI,NORDESTE, 0.43,1590.17,9046,QUINZENAL,0
2112704,MA,NORDESTE, 0.43,1613.17,17231,SEMANAL,4
2405405,MA,NORDESTE, 0.43,1613.67,19700,SEMANAL,0
2210656,MA,NORDESTE, 0.43,1650.85,22978,SEMANAL,
2112456,TO,NORTE, 0.43,1681.47,2530,SEMANAL,8
2101905,CE,NORDESTE, 0.43,1758.94,14452,SEMANAL,7
2100709,PI,NORDESTE, 0.43,1763.94,4451,QUINZENAL,0
1711951,MA,NORDESTE, 0.43,1820.47,13781,SEMANAL,0
2300408,PI,NORDESTE, 0.43,1826.24,3879,QUINZENAL,2
2202117,BA,NORDESTE, 0.43,1835.98,15119,SEMANAL,8
2104099,PI,NORDESTE, 0.43,1847.89,4523,SEMANAL,4
2208874,MA,NORDESTE, 0.43,1879.93,9123,SEMANAL,0
2922052,AL,NORDESTE, 0.43,1892.43,7059,,0
2205516,PA,NORTE, 0.43,1929.38,15437,SEMANAL,0
2100873,MA,NORDESTE, 0.43,1953.36,11534,SEMANAL,10
2705804,BA,NORDESTE, 0.43,1998.57,17251,SEMANAL,5
1501956,MA,NORDESTE, 0.43,2070.6,15124,SEMANAL,48
2102077,MA,NORDESTE, 0.43,2090.25,27513,SEMANAL,
2929701,PB,NORDESTE, 0.43,21.72,11577,QUINZENAL,5
2506707,PE,NORDESTE, 0.43,2137.16,12115,SEMANAL,0
2108801,MA,NORDESTE, 0.43,2150.94,22772,SEMANAL,5
2102101,PE,NORDESTE, 0.43,2168.76,20801,MENSAL,
2612554,MA,NORDESTE, 0.43,2261.33,5149,SEMANAL,0
2111409,RN,NORDESTE, 0.43,2366.8,2596,MENSAL,
2615805,CE,NORDESTE, 0.43,2391.93,14813,QUINZENAL,2
2106672,AM,NORTE, 0.43,2548.29,23113,SEMANAL,5
2405900,BA,NORDESTE, 0.43,2667.08,16903,SEMANAL,5
2304657,AC,NORTE, 0.43,2824.41,8295,QUINZENAL,5
1303908,BA,NORDESTE, 0.43,2974.55,11752,SEMANAL,4
2927606,PB,NORDESTE, 0.43,3154.75,5323,SEMANAL,0
1200351,TO,NORTE, 0.43,4022.27,5638,SEMANAL,
2930758,PI,NORDESTE, 0.43,,4809,QUINZENAL,2
2505279,PI,NORDESTE, 0.43,,4147,QUINZENAL,16
1703842,MA,NORDESTE, 0.43,,4823,SEMANAL,
2304236,MA,NORDESTE, 0.44,1060.27,28413,SEMANAL,7
2614402,MA,NORDESTE, 0.44,1120.18,31289,SEMANAL,3
2108702,CE,NORDESTE, 0.44,1145.64,12001,SEMANAL,1
2112407,MA,NORDESTE, 0.44,1272.27,13718,SEMANAL,0
2303931,CE,NORDESTE, 0.44,1380.47,13925,SEMANAL,0
2109270,MA,NORDESTE, 0.44,1438.99,9842,,4
2311959,MA,NORDESTE, 0.44,1461.51,17264,,0
2105153,AL,NORDESTE, 0.44,1490.05,10086,QUINZENAL,0
2107605,MA,NORDESTE, 0.44,1504.33,14609,QUINZENAL,0
2706422,TO,NORTE, 0.44,1516.72,7623,SEMANAL,25
2105609,BA,NORDESTE, 0.44,1544.05,20544,SEMANAL,6
1707405,PI,NORDESTE, 0.44,1578.45,4524,QUINZENAL,6
2903706,PI,NORDESTE, 0.44,1596.39,6849,SEMANAL,5
2210623,AL,NORDESTE, 0.44,1652.58,17639,,
2205557,CE,NORDESTE, 0.44,1671.48,48484,SEMANAL,10
2704401,AM,NORTE, 0.44,1723.57,10285,QUINZENAL,0
2304707,CE,NORDESTE, 0.44,1723.92,15547,QUINZENAL,
1302108,MA,NORDESTE, 0.44,1729.47,10119,SEMANAL,1
2303600,PI,NORDESTE, 0.44,1737.7,6375,QUINZENAL,5
2105476,MA,NORDESTE, 0.44,1742.77,4671,SEMANAL,0
2206696,MA,NORDESTE, 0.44,1753.88,10128,SEMANAL,
2101350,PI,NORDESTE, 0.44,1795.77,7658,SEMANAL,3
2107456,AL,NORDESTE, 0.44,1808.38,29574,SEMANAL,2
2204907,MG,SUDESTE, 0.44,1842.11,10230,SEMANAL,
2702900,PI,NORDESTE, 0.44,1875.81,4195,SEMANAL,4
3162450,MA,NORDESTE, 0.44,1887.69,13822,SEMANAL,0
2207751,BA,NORDESTE, 0.44,1905.07,17194,SEMANAL,21
2102358,MG,SUDESTE, 0.44,1943.44,6777,QUINZENAL,1
2910859,PI,NORDESTE, 0.44,1975.76,4386,QUINZENAL,3
3127073,MA,NORDESTE, 0.44,1983.45,24126,SEMANAL,
2207553,MA,NORDESTE, 0.44,1983.76,11799,SEMANAL,3
2102200,PB,NORDESTE, 0.44,20.13,3828,QUINZENAL,2
2106409,PE,NORDESTE, 0.44,2054.89,24137,QUINZENAL,2
2512036,CE,NORDESTE, 0.44,2120.12,5295,QUINZENAL,0
2603207,RN,NORDESTE, 0.44,2123.41,4703,SEMANAL,0
2304806,CE,NORDESTE, 0.44,2138.7,11247,QUINZENAL,7
2402907,BA,NORDESTE, 0.44,2141.69,11522,SEMANAL,1
2305654,MA,NORDESTE, 0.44,2159.99,8865,SEMANAL,0
2904209,PB,NORDESTE, 0.44,2160.97,8521,SEMANAL,2
2100402,BA,NORDESTE, 0.44,2169.43,26376,SEMANAL,2
2506251,CE,NORDESTE, 0.44,2184.9,16226,SEMANAL,8
2925907,MA,NORDESTE, 0.44,2203.02,22378,QUINZENAL,
2311900,PA,NORTE, 0.44,2211.02,31198,QUINZENAL,2
2108900,PB,NORDESTE, 0.44,2314.7,7831,QUINZENAL,
1503903,CE,NORDESTE, 0.44,2339.44,15541,SEMANAL,15
2510402,PI,NORDESTE, 0.44,2386.41,3433,QUINZENAL,3
2306603,PI,NORDESTE, 0.44,2427.51,4232,,
2202455,BA,NORDESTE, 0.44,2459.27,15222,SEMANAL,0
2203230,PE,NORDESTE, 0.44,2461.95,17691,SEMANAL,4
2910008,PB,NORDESTE, 0.44,2468.04,5773,QUINZENAL,1
2606507,CE,NORDESTE, 0.44,2603.51,7046,QUINZENAL,0
2513505,BA,NORDESTE, 0.44,2690.6,15148,SEMANAL,0
2308807,PE,NORDESTE, 0.44,2813.55,6300,MENSAL,
2909109,MA,NORDESTE, 0.44,2821.17,34474,QUINZENAL,6
2615102,AL,NORDESTE, 0.44,2822.44,11534,,
2102002,PB,NORDESTE, 0.44,2932.73,6203,SEMANAL,0
2708105,MA,NORDESTE, 0.44,3828.23,3904,SEMANAL,0
2509057,SE,NORDESTE, 0.44,6760.48,11536,QUINZENAL,0
2107258,CE,NORDESTE, 0.44,,16064,QUINZENAL,2
2804904,PE,NORDESTE, 0.44,,5532,SEMANAL,1
2412559,MA,NORDESTE, 0.45,1070.12,11019,SEMANAL,5
2313351,MA,NORDESTE, 0.45,1081.86,18406,SEMANAL,0
2109403,CE,NORDESTE, 0.45,1100.92,10970,SEMANAL,3
2111706,CE,NORDESTE, 0.45,1102.13,15830,SEMANAL,0
2310407,MA,NORDESTE, 0.45,1103.09,9900,SEMANAL,4
2302909,CE,NORDESTE, 0.45,1145.23,21584,SEMANAL,1
2101772,CE,NORDESTE, 0.45,1178.19,9286,SEMANAL,2
2309458,MA,NORDESTE, 0.45,1181.11,18624,QUINZENAL,0
2303659,MA,NORDESTE, 0.45,1184.12,37728,SEMANAL,4
2102903,MA,NORDESTE, 0.45,1185.28,13071,SEMANAL,1
2112506,AL,NORDESTE, 0.45,1271.59,11325,,0
2108405,MA,NORDESTE, 0.45,1368.74,19231,SEMANAL,1
2701100,MA,NORDESTE, 0.45,1379.53,9413,SEMANAL,5
2106508,PI,NORDESTE, 0.45,1398.8,5734,SEMANAL,3
2103901,BA,NORDESTE, 0.45,1439.08,13666,QUINZENAL,
2209971,PI,NORDESTE, 0.45,1473.13,5988,SEMANAL,
2921450,CE,NORDESTE, 0.45,1477.63,5605,SEMANAL,14
2206050,MA,NORDESTE, 0.45,1494.92,18827,SEMANAL,4
2312809,PI,NORDESTE, 0.45,1499.45,1876,MENSAL,0
2100303,PI,NORDESTE, 0.45,1558.24,29849,QUINZENAL,3
2209450,PI,NORDESTE, 0.45,1574.68,10573,SEMANAL,0
2206209,TO,NORTE, 0.45,1582.48,8486,SEMANAL,8
2208502,PA,NORTE, 0.45,1586.59,15518,SEMANAL,3
1720200,PB,NORDESTE, 0.45,1598.46,9106,,12
1501006,BA,NORDESTE, 0.45,1619.25,19665,,
2515401,PI,NORDESTE, 0.45,1627.65,5254,SEMANAL,0
2909208,AL,NORDESTE, 0.45,1632.39,9134,SEMANAL,0
2204006,PI,NORDESTE, 0.45,1638.57,4220,QUINZENAL,0
2701506,PI,NORDESTE, 0.45,1646.47,18808,SEMANAL,12
2203271,PI,NORDESTE, 0.45,1660.82,3507,SEMANAL,0
2210409,BA,NORDESTE, 0.45,1662.09,47584,QUINZENAL,14
2202737,MA,NORDESTE, 0.45,1663.7,10378,SEMANAL,0
2902104,MA,NORDESTE, 0.45,1677.09,9833,SEMANAL,5
2111904,PE,NORDESTE, 0.45,1697.38,27489,SEMANAL,10
2105807,AL,NORDESTE, 0.45,1717.91,7313,SEMANAL,0
2604908,BA,NORDESTE, 0.45,1722.06,44203,,3
2703502,PI,NORDESTE, 0.45,1737.87,6356,SEMANAL,15
2902708,BA,NORDESTE, 0.45,1742.24,11800,SEMANAL,1
2209708,PA,NORTE, 0.45,1744.13,22743,SEMANAL,5
2922656,PI,NORDESTE, 0.45,1749.52,4062,QUINZENAL,0
1508035,PA,NORTE, 0.45,1751.64,51090,SEMANAL,2
2202554,PI,NORDESTE, 0.45,1767.04,5155,SEMANAL,
1508308,MA,NORDESTE, 0.45,1768.39,10543,QUINZENAL,3
2202729,AL,NORDESTE, 0.45,1773.71,20789,SEMANAL,0
2102754,RN,NORDESTE, 0.45,1782.85,5870,SEMANAL,0
2702355,PI,NORDESTE, 0.45,1790.67,7805,SEMANAL,0
2413300,PI,NORDESTE, 0.45,1805.55,6675,SEMANAL,
2206704,TO,NORTE, 0.45,1813.72,3138,SEMANAL,1
2209906,TO,NORTE, 0.45,1821.21,2801,SEMANAL,0
1718501,MA,NORDESTE, 0.45,1825.98,6513,SEMANAL,2
1718808,PI,NORDESTE, 0.45,1843.11,4675,QUINZENAL,2
2104628,BA,NORDESTE, 0.45,1874.41,22600,SEMANAL,6
2210904,PI,NORDESTE, 0.45,1887.55,4450,QUINZENAL,1
2925956,CE,NORDESTE, 0.45,1890.53,45427,SEMANAL,
2205565,CE,NORDESTE, 0.45,1900.15,17343,QUINZENAL,
2314102,BA,NORDESTE, 0.45,1931.8,14718,SEMANAL,2
2313757,MG,SUDESTE, 0.45,1974.71,5227,,2
2900405,RN,NORDESTE, 0.45,1986.42,6552,SEMANAL,
3146255,PI,NORDESTE, 0.45,1996.35,11306,QUINZENAL,
2403202,MA,NORDESTE, 0.45,2014.22,31292,SEMANAL,6
2208106,CE,NORDESTE, 0.45,2037.34,12089,,
2100600,MA,NORDESTE, 0.45,2044.65,19290,SEMANAL,1
2307254,CE,NORDESTE, 0.45,2071.78,11479,SEMANAL,10
2108108,CE,NORDESTE, 0.45,2074.98,16847,SEMANAL,16
2313906,BA,NORDESTE, 0.45,2092.56,31947,QUINZENAL,2
2312106,PB,NORDESTE, 0.45,2135.41,5737,,3
2906808,BA,NORDESTE, 0.45,2151.82,18408,SEMANAL,5
2514305,PB,NORDESTE, 0.45,2170.32,2559,SEMANAL,0
2903805,TO,NORTE, 0.45,2202.74,3670,SEMANAL,0
2502052,AM,NORTE, 0.45,2203.18,15512,SEMANAL,3
1718550,AL,NORDESTE, 0.45,2228.79,21451,,3
1304237,CE,NORDESTE, 0.45,2230.53,11498,QUINZENAL,5
2703205,MG,SUDESTE, 0.45,2263.92,6477,QUINZENAL,2
2313559,CE,NORDESTE, 0.45,2266.66,25973,SEMANAL,36
3117836,AM,NORTE, 0.45,2300.84,17079,SEMANAL,2
2313203,SE,NORDESTE, 0.45,2312.48,12840,QUINZENAL,3
1302801,PB,NORDESTE, 0.45,2325.38,2104,QUINZENAL,
2807501,PI,NORDESTE, 0.45,2325.68,2421,MENSAL,10
2501153,PA,NORTE, 0.45,2358.47,13708,SEMANAL,2
2208551,BA,NORDESTE, 0.45,2419.04,10173,SEMANAL,4
1501105,RN,NORDESTE, 0.45,2420.41,2678,SEMANAL,6
2911303,AM,NORTE, 0.45,2594.8,10561,SEMANAL,3
2400406,PE,NORDESTE, 0.45,2629.93,10477,QUINZENAL,0
1303601,PE,NORDESTE, 0.45,2751.86,6855,,
2612901,PI,NORDESTE, 0.45,2813.06,5170,SEMANAL,3
2611533,RN,NORDESTE, 0.45,2837.94,4200,SEMANAL,1
2201770,MA,NORDESTE, 0.45,2867.1,4667,SEMANAL,10
2410801,PB,NORDESTE, 0.45,2995.09,2209,SEMESTRAL,0
2109759,SE,NORDESTE, 0.45,3148.12,13948,QUINZENAL,2
2500577,TO,NORTE, 0.45,3182.03,1209,MENSAL,1
2806305,PI,NORDESTE, 0.45,3273.14,3835,QUINZENAL,0
1712157,CE,NORDESTE, 0.45,3353.96,7538,QUINZENAL,6
2210631,TO,NORTE, 0.45,3512.39,1646,SEMANAL,2
2301505,CE,NORDESTE, 0.45,3593.9,4866,BIMESTRAL,
1712702,MA,NORDESTE, 0.45,3757.95,10024,SEMANAL,0
2304608,BA,NORDESTE, 0.45,4319.11,10027,SEMANAL,
2106102,BA,NORDESTE, 0.45,7198.82,21917,MENSAL,6
2917904,MA,NORDESTE, 0.45,879.92,10142,SEMANAL,50
2926202,MA,NORDESTE, 0.45,912.8,7186,QUINZENAL,4
2101103,MA,NORDESTE, 0.45,938.43,9793,SEMANAL,2
2103125,CE,NORDESTE, 0.45,,13519,QUINZENAL,3
2103109,RN,NORDESTE, 0.45,,7580,,3
2102606,CE,NORDESTE, 0.46,1142,16344,SEMANAL,0
2202406,PB,NORDESTE, 0.46,2110,2823,BIMESTRAL,
2303204,MA,NORDESTE, 0.46,1165.88,21291,SEMANAL,1
2306108,MA,NORDESTE, 0.46,1239.85,39669,SEMANAL,1
2915007,AL,NORDESTE, 0.46,1317.04,4523,,20
2307908,MA,NORDESTE, 0.46,1347.28,26433,SEMANAL,3
2210201,MA,NORDESTE, 0.46,1355.5,14817,SEMANAL,16
2308609,PI,NORDESTE, 0.46,1361.32,3986,QUINZENAL,1
2100204,CE,NORDESTE, 0.46,1367.22,44527,QUINZENAL,10
2101707,BA,NORDESTE, 0.46,1402.2,13076,QUINZENAL,
2706208,BA,NORDESTE, 0.46,1418.4,13686,SEMANAL,1
2106607,AL,NORDESTE, 0.46,1432.52,21488,SEMANAL,5
2107902,BA,NORDESTE, 0.46,1439.95,13599,SEMANAL,2
2201988,MA,NORDESTE, 0.46,1469.01,5128,SEMANAL,1
2313500,PI,NORDESTE, 0.46,1471.34,9727,SEMANAL,
2905156,MA,NORDESTE, 0.46,1489.79,5533,QUINZENAL,3
2919959,MA,NORDESTE, 0.46,1517.68,30299,SEMANAL,1
2703809,TO,NORTE, 0.46,1521.38,3218,SEMANAL,
2923050,PI,NORDESTE, 0.46,1534.71,2337,QUINZENAL,0
2101970,AL,NORDESTE, 0.46,1539.46,11993,QUINZENAL,
2206100,AL,NORDESTE, 0.46,1548.66,19988,SEMANAL,4
2105658,PI,NORDESTE, 0.46,1549.11,13076,SEMANAL,0
2108306,PI,NORDESTE, 0.46,1552.91,7214,SEMANAL,3
1703891,PI,NORDESTE, 0.46,1553.28,5236,TRIMESTRAL,1
2204154,AL,NORDESTE, 0.46,1567.28,25032,SEMANAL,2
2702009,PI,NORDESTE, 0.46,1582.35,4909,QUINZENAL,
2704104,PB,NORDESTE, 0.46,1616.89,4672,QUINZENAL,1
2205409,PI,NORDESTE, 0.46,1636.83,2030,SEMANAL,1
