Região;País;Item;Canal;Prioridade Pedido;Data Pedido;ID Pedido;Data Envio;Unidades Vendidas;Preço Unit;Custo Unit;Receita Total;Custo Total;Lucro Total
Oriente Médio e Norte da África;Somalia;Roupas;Offline;M;15/11/11;414887797;17/11/11;3374;109,28;35,84;368710,72;120924,16;247786,56
Austrália e Oceania;Tonga;Bebidas;Offline;L;27/01/10;812613904;29/01/10;9367;47,45;31,79;444464,15;297776,93;146687,22
Ásia;Bangladesh;Comida para bebê;Online;H;17/08/11;254927718;07/09/11;7632;255,28;159,42;1948296,96;1216693,44;731603,52
Oriente Médio e Norte da África;Egypt;Bebidas;Offline;M;06/09/14;749690568;26/10/14;8954;47,45;31,79;424867,3;284647,66;140219,64
África Subsaariana;Eritrea;Cereais;Offline;C;03/09/14;775076282;19/09/14;1150;205,7;117,11;236555;134676,5;101878,5
África Subsaariana;Swaziland;Artigos Escritório;Online;H;05/09/15;229571187;18/09/15;4071;651,21;524,96;2651075,91;2137112,16;513963,75
Ásia;Vietnam;Comida para bebê;Online;C;20/06/11;881974112;11/07/11;4594;255,28;159,42;1172756,32;732375,48;440380,84
Austrália e Oceania;Marshall Islands;Snacks;Online;L;12/01/12;521396386;14/02/12;1632;152,58;97,44;249010,56;159022,08;89988,48
Ásia;Taiwan;Eletrodomésticos;Online;C;23/01/17;607261836;22/02/17;1127;668,27;502,54;753140,29;566362,58;186777,71
Europa;Ireland;Vegetais;Online;M;04/03/12;419306790;12/03/12;1052;154,06;90,93;162071,12;95658,36;66412,76
África Subsaariana;Rwanda;Carne;Offline;H;18/07/10;207580077;18/07/10;6413;421,89;364,69;2705580,57;2338756,97;366823,6
Europa;Sweden;Snacks;Online;M;12/04/11;742443025;15/04/11;4245;152,58;97,44;647702,1;413632,8;234069,3
África Subsaariana;Gabon;Snacks;Offline;M;03/10/10;164569461;05/10/10;8615;152,58;97,44;1314476,7;839445,6;475031,1
África Subsaariana;South Africa;Comida para bebê;Online;L;29/12/13;734945714;12/02/14;5624;255,28;159,42;1435694,72;896578,08;539116,64
Europa;United Kingdom;Roupas;Offline;C;19/09/15;284870612;07/10/15;8399;109,28;35,84;917842,72;301020,16;616822,56
Europa;Albania;Frutas;Offline;M;17/09/11;765955483;07/10/11;2104;9,33;6,92;19630,32;14559,68;5070,64
Ásia;Malaysia;Snacks;Offline;H;11/03/10;600124156;21/04/10;8929;152,58;97,44;1362386,82;870041,76;492345,06
África Subsaariana;Ghana;Eletrodomésticos;Offline;L;10/11/12;529612958;11/12/12;3098;668,27;502,54;2070300,46;1556868,92;513431,54
América Central e o Caribe;Cuba;Roupas;Offline;H;16/02/11;466970717;18/03/11;5867;109,28;35,84;641145,76;210273,28;430872,48
América Central e o Caribe;Saint Lucia;Cosméticos;Online;C;13/08/12;845058763;22/09/12;522;437,2;263,33;228218,4;137458,26;90760,14
Europa;Romania;Snacks;Offline;L;28/08/14;367050921;31/08/14;7379;152,58;97,44;1125887,82;719009,76;406878,06
Europa;Portugal;Artigos Escritório;Online;L;19/08/15;956433522;12/09/15;8788;651,21;524,96;5722833,48;4613348,48;1109485
Europa;Macedonia;Bebidas;Online;C;20/03/11;107005393;04/05/11;4129;47,45;31,79;195921,05;131260,91;64660,14
Ásia;China;Bebidas;Offline;C;16/04/13;332877862;07/05/13;4811;47,45;31,79;228281,95;152941,69;75340,26
Europa;Germany;Comida para bebê;Online;L;13/11/15;618474757;31/12/15;9279;255,28;159,42;2368743,12;1479258,18;889484,94
Europa;Ireland;Eletrodomésticos;Online;M;10/01/14;468532407;11/02/14;8006;668,27;502,54;5350169,62;4023335,24;1326834,38
Europa;Poland;Artigos Escritório;Offline;M;09/04/15;358099639;29/04/15;8496;651,21;524,96;5532680,16;4460060,16;1072620
África Subsaariana;Namibia;Eletrodomésticos;Online;H;07/01/13;382537782;27/01/13;285;668,27;502,54;190456,95;143223,9;47233,05
Ásia;Uzbekistan;Cuidados Pessoais;Offline;H;12/02/13;707520663;15/03/13;9942;81,73;56,67;812559,66;563413,14;249146,52
África Subsaariana;Zimbabwe;Carne;Online;M;28/11/14;219034612;10/12/14;6064;421,89;364,69;2558340,96;2211480,16;346860,8
Ásia;Mongolia;Carne;Offline;M;03/01/15;573378455;17/01/15;4281;421,89;364,69;1806111,09;1561237,89;244873,2
Europa;Norway;Cuidados Pessoais;Online;H;03/02/11;347163522;22/03/11;2256;81,73;56,67;184382,88;127847,52;56535,36
Oriente Médio e Norte da África;Oman;Snacks;Offline;M;09/04/13;887313640;21/04/13;4679;152,58;97,44;713921,82;455921,76;258000,06
Europa;Serbia;Cosméticos;Online;H;26/07/17;461065137;19/08/17;8275;437,2;263,33;3617830;2179055,75;1438774,25
África Subsaariana;Democratic Republic of the Congo;Frutas;Offline;H;15/04/17;105966842;19/05/17;6798;9,33;6,92;63425,34;47042,16;16383,18
Europa;Bulgaria;Comida para bebê;Online;M;16/05/14;479880082;23/05/14;6035;255,28;159,42;1540614,8;962099,7;578515,1
Ásia;Brunei;Comida para bebê;Online;H;12/08/15;510978686;30/09/15;8803;255,28;159,42;2247229,84;1403374,26;843855,58
Europa;Serbia;Snacks;Offline;C;20/09/13;547748982;14/10/13;9951;152,58;97,44;1518323,58;969625,44;548698,14
África Subsaariana;Ghana;Cereais;Offline;M;31/10/13;108989799;09/12/13;1358;205,7;117,11;279340,6;159035,38;120305,22
África Subsaariana;Malawi;Cereais;Offline;M;30/07/14;133812463;09/08/14;6936;205,7;117,11;1426735,2;812274,96;614460,24
África Subsaariana;Zimbabwe;Frutas;Offline;L;12/11/11;731640803;30/12/11;7627;9,33;6,92;71159,91;52778,84;18381,07
Europa;Cyprus;Snacks;Offline;C;25/03/10;732211148;14/04/10;6405;152,58;97,44;977274,9;624103,2;353171,7
América Central e o Caribe;Nicaragua;Cereais;Online;M;04/07/11;835572326;08/08/11;3274;205,7;117,11;673461,8;383418,14;290043,66
Europa;Estonia;Comida para bebê;Offline;C;01/01/11;462085664;15/01/11;271;255,28;159,42;69180,88;43202,82;25978,06
Europa;Estonia;Roupas;Online;C;16/06/16;902424991;04/07/16;6463;109,28;35,84;706276,64;231633,92;474642,72
Europa;Lithuania;Frutas;Offline;H;17/12/13;367576634;05/01/14;2949;9,33;6,92;27514,17;20407,08;7107,09
África Subsaariana;Republic of the Congo;Carne;Offline;H;01/03/17;738839423;31/03/17;7859;421,89;364,69;3315633,51;2866098,71;449534,8
Europa;Czech Republic;Comida para bebê;Online;C;02/07/10;817824685;27/07/10;1353;255,28;159,42;345393,84;215695,26;129698,58
África Subsaariana;Cameroon;Snacks;Online;C;16/07/13;376456248;01/08/13;624;152,58;97,44;95209,92;60802,56;34407,36
Ásia;Vietnam;Artigos Escritório;Online;H;16/08/16;606970441;16/09/16;4897;651,21;524,96;3188975,37;2570729,12;618246,25
Europa;Moldova ;Carne;Offline;L;16/12/14;971916091;19/01/15;424;421,89;364,69;178881,36;154628,56;24252,8
Oriente Médio e Norte da África;Bahrain;Artigos Escritório;Offline;L;14/05/12;554154527;15/05/12;5494;651,21;524,96;3577747,74;2884130,24;693617,5
Europa;Hungary;Eletrodomésticos;Online;L;18/07/17;306859576;19/07/17;5423;668,27;502,54;3624028,21;2725274,42;898753,79
Austrália e Oceania;Marshall Islands;Cuidados Pessoais;Offline;L;09/07/17;803517568;21/07/17;7559;81,73;56,67;617797,07;428368,53;189428,54
Oriente Médio e Norte da África;Iraq;Artigos Escritório;Online;C;30/09/11;887927329;02/10/11;6283;651,21;524,96;4091552,43;3298323,68;793228,75
Europa;Albania;Vegetais;Online;H;24/11/15;824200189;26/11/15;8006;154,06;90,93;1233404,36;727985,58;505418,78
África Subsaariana;Lesotho;Artigos Escritório;Online;H;14/08/12;946759974;14/09/12;6170;651,21;524,96;4017965,7;3239003,2;778962,5
Oriente Médio e Norte da África;Lebanon;Roupas;Offline;H;06/12/15;310343015;28/12/15;6249;109,28;35,84;682890,72;223964,16;458926,56
Europa;Hungary;Vegetais;Online;C;25/05/14;739998137;09/07/14;748;154,06;90,93;115236,88;68015,64;47221,24
Ásia;Japan;Bebidas;Online;H;18/10/12;981086671;21/11/12;4203;47,45;31,79;199432,35;133613,37;65818,98
Europa;Georgia;Artigos Escritório;Offline;L;13/03/13;749282443;25/03/13;8180;651,21;524,96;5326897,8;4294172,8;1032725
Europa;Estonia;Artigos Escritório;Online;C;23/02/11;280571782;11/03/11;6280;651,21;524,96;4089598,8;3296748,8;792850
Europa;Luxembourg;Eletrodomésticos;Online;C;15/08/14;781253516;01/09/14;9131;668,27;502,54;6101973,37;4588692,74;1513280,63
África Subsaariana;Swaziland;Cuidados Pessoais;Online;H;06/07/17;377938973;11/07/17;9396;81,73;56,67;767935,08;532471,32;235463,76
Europa;Romania;Roupas;Offline;C;31/12/10;867551982;03/01/11;6765;109,28;35,84;739279,2;242457,6;496821,6
África Subsaariana;Ethiopia;Cuidados Pessoais;Offline;C;13/01/10;967328870;15/01/10;2964;81,73;56,67;242247,72;167969,88;74277,84
África Subsaariana;Chad;Artigos Escritório;Offline;C;17/09/11;364818465;10/10/11;6746;651,21;524,96;4393062,66;3541380,16;851682,5
Oriente Médio e Norte da África;Morocco;Artigos Escritório;Online;C;08/03/14;167882096;31/03/14;8898;651,21;524,96;5794466,58;4671094,08;1123372,5
América do Norte;Mexico;Roupas;Online;H;18/11/12;654693591;01/12/12;7237;109,28;35,84;790859,36;259374,08;531485,28
África Subsaariana;Nigeria;Cuidados Pessoais;Offline;H;18/11/11;823739278;29/12/11;1612;81,73;56,67;131748,76;91352,04;40396,72
América Central e o Caribe;Trinidad and Tobago;Bebidas;Offline;L;12/07/12;643817985;19/08/12;8904;47,45;31,79;422494,8;283058,16;139436,64
Europa;Moldova ;Cuidados Pessoais;Offline;H;30/03/17;604041039;15/05/17;8022;81,73;56,67;655638,06;454606,74;201031,32
Austrália e Oceania;Solomon Islands;Cuidados Pessoais;Online;H;26/07/10;363832271;12/09/10;4909;81,73;56,67;401212,57;278193,03;123019,54
Ásia;India;Cuidados Pessoais;Online;L;24/12/15;102928006;31/01/16;7539;81,73;56,67;616162,47;427235,13;188927,34
África Subsaariana;Burkina Faso;Artigos Escritório;Offline;M;15/05/16;971377074;15/05/16;917;651,21;524,96;597159,57;481388,32;115771,25
Austrália e Oceania;Kiribati;Carne;Online;L;03/11/10;139540803;04/12/10;2079;421,89;364,69;877109,31;758190,51;118918,8
Oriente Médio e Norte da África;Israel;Carne;Offline;M;01/12/10;248093020;16/12/10;5093;421,89;364,69;2148685,77;1857366,17;291319,6
África Subsaariana;Comoros;Snacks;Offline;L;16/01/14;858020055;17/01/14;6056;152,58;97,44;924024,48;590096,64;333927,84
Oriente Médio e Norte da África;Iran;Comida para bebê;Offline;H;11/12/14;700620734;05/01/15;8099;255,28;159,42;2067512,72;1291142,58;776370,14
Ásia;Vietnam;Cosméticos;Offline;L;24/12/16;827506387;30/01/17;6384;437,2;263,33;2791084,8;1681098,72;1109986,08
América Central e o Caribe;Belize;Eletrodomésticos;Online;M;21/03/13;560600841;14/04/13;3101;668,27;502,54;2072305,27;1558376,54;513928,73
Europa;Belarus;Cuidados Pessoais;Offline;H;08/12/12;642140424;16/01/13;2476;81,73;56,67;202363,48;140314,92;62048,56
América do Norte;United States of America;Comida para bebê;Offline;C;13/02/15;984673964;05/03/15;5763;255,28;159,42;1471178,64;918737,46;552441,18
Europa;Poland;Bebidas;Online;L;28/03/12;221062791;18/04/12;6247;47,45;31,79;296420,15;198592,13;97828,02
América do Norte;Canada;Vegetais;Offline;L;07/10/16;654480731;08/11/16;4247;154,06;90,93;654292,82;386179,71;268113,11
Oriente Médio e Norte da África;Israel;Bebidas;Offline;C;15/12/11;608414113;23/12/11;2111;47,45;31,79;100166,95;67108,69;33058,26
Oriente Médio e Norte da África;Lebanon;Eletrodomésticos;Online;L;08/03/16;276661765;20/04/16;9219;668,27;502,54;6160781,13;4632916,26;1527864,87
Europa;Andorra;Comida para bebê;Online;L;18/01/11;373335015;28/02/11;6982;255,28;159,42;1782364,96;1113070,44;669294,52
Europa;Slovakia;Roupas;Online;L;11/04/13;782857692;28/05/13;3843;109,28;35,84;419963,04;137733,12;282229,92
África Subsaariana;Liberia;Frutas;Online;H;18/05/10;109966123;05/06/10;274;9,33;6,92;2556,42;1896,08;660,34
América Central e o Caribe;Antigua and Barbuda ;Cereais;Offline;M;05/06/17;629709136;06/06/17;3782;205,7;117,11;777957,4;442910,02;335047,38
Ásia;China;Cuidados Pessoais;Online;L;11/09/12;637448060;15/09/12;3901;81,73;56,67;318828,73;221069,67;97759,06
África Subsaariana;Niger;Comida para bebê;Online;H;08/03/17;298856723;03/04/17;7200;255,28;159,42;1838016;1147824;690192
Europa;United Kingdom;Eletrodomésticos;Offline;L;28/01/15;299921452;23/02/15;2278;668,27;502,54;1522319,06;1144786,12;377532,94
